n1,n2,exact_change,approx_change
8,9,125,202
6,10,70,126
4,10,11,33
8,9,136,249
6,9,77,135
4,6,31,49
8,10,114,181
6,7,62,107
4,7,23,39
8,10,127,242
6,10,22,78
4,8,5,26
8,9,144,212
6,9,54,137
4,10,6,32
8,10,98,168
6,7,51,113
4,5,68,85
8,10,135,224
6,10,34,108
4,7,21,39
8,9,122,235
6,8,52,85
4,8,16,37
8,10,116,213
6,7,72,143
4,9,3,17
8,10,183,245
6,10,57,84
4,5,30,47
8,9,134,208
6,8,55,106
4,6,22,49
8,9,114,177
6,7,103,160
4,8,17,30
8,10,146,234
6,10,10,70
4,9,20,42
8,9,143,195
6,8,105,165
4,10,23,41
8,9,129,206
6,7,91,134
4,6,20,51
8,10,105,142
6,9,35,90
4,7,29,57
8,10,116,224
5,8,20,82
3,9,5,24
7,10,101,178
5,8,15,63
3,7,8,21
7,8,74,144
5,10,8,51
3,4,35,64
7,10,73,133
5,10,32,90
3,9,6,23
7,8,110,175
5,7,39,67
3,6,15,38
7,9,56,137
5,7,31,73
3,10,0,1
7,8,80,160
5,7,56,97
3,8,4,20
7,9,79,156
5,9,40,80
3,5,33,40
7,8,105,200
5,9,32,73
3,10,0,7
7,9,51,125
5,9,31,57
3,7,15,16
7,10,54,90
5,6,17,39
3,4,7,13
7,9,61,132
5,6,26,54
3,9,8,17
7,10,94,163
5,8,36,89
3,6,14,22
7,9,61,133
5,8,15,38
3,10,1,12
7,10,63,111
5,8,40,81
3,8,0,12
7,8,87,154
5,10,35,70
3,5,12,33
7,10,106,151
5,10,28,76
3,10,0,6
7,8,97,140
5,7,40,101
3,7,7,33
7,9,139,217
5,7,41,68
3,4,21,38
7,8,63,127
5,7,36,59
3,9,0,5
7,9,85,133
5,9,6,34
3,6,15,30
7,8,72,151
5,9,36,89
3,4,23,39
7,9,114,214
5,6,93,141
3,8,0,14
7,10,91,151
5,6,92,140
3,5,10,17
7,9,96,170
5,6,15,57
3,10,16,34
7,10,91,144
5,8,14,35
3,7,0,18
7,9,76,91
5,8,37,92
3,5,14,33
7,10,102,174
5,8,14,69
3,9,0,6
7,8,159,217
5,10,18,56
3,6,16,23
7,10,77,190
5,10,80,126
3,4,16,28
7,8,81,138
5,7,28,75
3,8,4,18
7,10,68,120
5,7,49,79
3,5,19,27
7,8,120,160
5,7,31,73
3,10,0,2
7,9,67,109
5,9,49,64
3,7,13,37
7,8,68,109
5,9,12,41
3,5,5,19
7,9,117,207
5,6,32,46
3,9,20,27
7,10,95,133
5,6,95,130
3,6,11,40
7,9,95,157
5,6,45,91
3,4,19,27
7,10,84,166
5,8,4,49
3,8,7,28
7,9,76,135
5,8,33,71
3,6,0,18
7,10,97,189
5,8,39,68
3,10,0,0
7,8,79,118
5,10,24,55
3,7,0,0
7,10,49,127
5,10,25,57
8,9,168,243
6,9,68,124
4,10,4,43
8,10,88,138
6,7,51,101
4,5,43,80
8,9,187,244
6,10,33,71
4,6,41,50
8,9,115,182
6,9,92,145
4,8,18,39
8,10,179,276
6,7,53,90
4,9,3,48
8,10,171,277
6,10,52,105
4,5,32,40
8,9,111,240
6,9,47,96
4,6,20,35
8,10,72,179
6,7,43,98
4,7,48,62
8,10,117,202
6,10,54,153
4,9,14,27
8,9,176,266
6,8,92,147
4,10,21,50
8,9,116,168
6,7,28,69
4,5,28,41
8,10,118,210
6,10,18,88
4,7,33,62
8,9,128,210
6,8,51,102
4,8,6,16
8,9,119,203
6,7,38,88
4,10,9,26
8,10,101,203
6,9,81,133
4,5,30,39
8,9,131,215
6,8,66,130
4,6,25,37
8,9,158,228
6,7,58,96
4,8,13,32
8,10,119,236
6,9,62,106
4,9,17,48
8,10,74,129
6,8,61,109
4,5,19,43
8,9,155,254
6,10,72,136
4,6,54,83
8,10,98,171
6,9,96,146
4,7,27,48
8,10,112,167
6,8,25,60
4,9,23,35
8,9,108,187
6,10,74,141
4,10,15,39
8,9,137,245
6,9,113,151
4,6,10,24
8,10,97,180
6,8,87,122
4,7,32,65
8,9,131,234
6,10,36,78
4,8,11,32
8,9,138,194
6,9,27,115
4,10,3,12
8,10,206,284
6,7,52,115
4,5,60,88
8,10,93,179
6,10,42,99
4,6,39,46
8,9,104,175
6,9,74,124
4,8,18,49
8,10,120,189
6,7,85,103
4,9,28,70
8,10,103,207
6,10,48,94
4,5,9,23
8,9,148,243
6,8,63,127
4,6,8,28
8,10,98,187
6,7,90,151
4,7,23,48
8,10,64,143
6,10,45,98
4,9,11,47
8,9,112,155
6,8,59,106
4,10,20,46
8,9,155,241
6,7,49,102
4,6,11,27
8,10,141,213
6,10,46,89
4,7,30,58
8,9,151,252
6,8,81,134
4,8,21,44
8,9,88,204
6,7,52,106
4,10,23,54
8,10,109,189
6,9,53,96
4,5,34,47
8,10,117,226
6,8,60,104
4,6,27,70
8,9,122,191
6,7,57,92
3,10,0,5
7,9,82,138
5,8,28,48
3,7,3,10
7,8,75,143
5,8,24,58
3,5,14,52
7,9,64,127
5,10,12,34
3,9,6,29
7,10,63,128
5,10,24,65
3,6,3,16
7,9,73,137
5,10,21,51
3,4,1,6
7,10,87,130
5,7,20,46
3,8,1,14
7,9,126,172
5,7,45,90
3,6,8,30
7,10,76,145
5,7,18,41
3,10,1,9
7,8,101,150
5,9,9,49
3,7,16,37
7,10,127,228
5,9,29,49
3,5,7,17
7,8,74,142
5,6,53,88
3,9,2,12
7,10,83,159
5,6,39,39
3,7,11,22
7,8,103,176
5,6,32,61
3,4,36,36
7,9,93,167
5,8,37,96
3,8,0,5
